"제품코드","product_cnt","제품명","약식품번(제품번호와같이키값으로사용)"
PEMA013117700,1,PEMA-HR1000현림수로용,806884
PEMA053030401,1,CSA4000부국(부천),804672
PEMA013126600,1,PEMA-HR1000현대콘(목포),808226
PEMA043041501,1,PEMA-SR3000F슬럼프용성진(인천),768651
PEMA013048523,1,PEMA-HR1000쌍용(의왕),806544
SSA013085300,1,AE흥국(미사리),769320
PEMA013048700,1,CSA5000아산(당진),807854
PEMA023037900,1,CSA5000서우(서산),808176
PEMA013117000,1,PEMA-HR1000알파(공주),806773
PEMA023105210,1,CSA5000삼우(대구),805853
PEMA013015900,1,PEMA-HR1000대영(함안),780246
PEMA023092200,1,PEMA-HR1500항도렉스콘(부산),804810
PEMA013058613,1,PEMA-HR1000유진(천안),804308
PEMA043001000,1,PEMA-SR3000F강원(인천),808307
PEMA013020100,1,PEMA-HR1000동국(해남),774217
PEMA013081200,1,PEMA-HR1500해국(노화도),775367
PEMA013048600,1,PEMA-HR1500아산(나주),775236
TSN4012001215,1,PEMA-SN400구산(합천),808063
PEMA033090200,1,PEMA-HR1000남원(남원),807862
PEMA013111000,1,PEMA-HR1000씨제이(청주),805986
PEMA023058603,1,PEMA-HR1000유진(동서울),806017
PEMA013122500,1,PEMA-HR1000영동(고성),807740
PEMA023120100,1,PEMA-SR2000 성우(영동),807586
PEMA033023500,1,PEMA-HR1500동양산업(김해),781126
PEMA013133200,1,PEMA-SR2000 경도(경주),808976
PEMA013035304,1,PEMA-HR1000삼표(송도),765986
PEMA033090700,1,SRE-200삼영씨앤텍(양주),804479
PEMA563022500,1,PEMA-SR3000F쌍용(창원),783519
PEMA023026700,1,PEMA-HR1000모헨즈(당진),765812
PEMA013124800,1,PEMA-HR1000한화(포항),808018
PEMA023030002,1,PEMA-SR2000부강(대전),805974
PEMA023024802,1,PEMA-HR1000동진(음성),804139
PEMA023048701,1,CSA5000아산(아산),808375
PEMA023056800,1,PEMA-HR1000OPC우경(진주),780107
PEMA073072100,1,CSA4000(PCA)태명실업(이천),808474
PEMA013080600,1,PEMA-HR1000한진(장성),774751
PEMA043048500,1,PEMA-HR1500쌍용(광주),808344
PEMA043061100,1,PEMA-HR1500장안(정관),805228
PEMA013020900,1,PEMA-HR1500동방(전주),774997
TSN4012011122,1,PEMA-SN400우원(신림),808080
PEMA013019100,1,PEMA-HR1500대호(서산),805987
PEMA053051700,1,PEMA-HR1000 영광(영광),808973
PEMA043049101,1,PEMA-HR1500아세아(아산),805312
TSN4012043601,1,PEMA-SN400청명(보령),807860
PEMA013051100,1,PEMA-HR1500양지(산청),805493
PEMA023100500,1,PEMA-HR1000대성(장흥),807628
PEMA033080100,1,PEMA-HR1000한일(대구),805793
PEMA043067600,1,PEMA-SR3000F진남(여수),808886
PEMA013089210,1,PEMA-HR1000고려(공주),806009
PEMA013120000,1,CSA5000상신(성주),807296
PEMA013085800,1,PEMA-PR1000흥진(합천),808317
PEMA023048506,1,PEMA-HR1000쌍용(용인),766321
PEMA013091800,1,PEMA-PR1000오성(서산),804587
PEMA023031400,1,PEMA-SR2000산하(덕소),807530
PEMA013131200,1,CSA5000삼기(인천),808789
PEMA023043210,1,CSA4000세진(화성),806306
PEMA043062600,1,PEMA-HR1500배방(아산),808430
TSN4012015211,1,PEMA-SN400부강(진접),808392
PEMA013023016,1,PEMA-HR1000동양(원주),806331
PEMA013023700,1,PEMA-HR1500동양(나주),806652
